,Age,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB,Churn,Gender_Female,Gender_Male,Location_Chicago,Location_Houston,Location_Los Angeles,Location_Miami,Location_New York
0,63,17,73.36,236,0,0,1,0,0,1,0,0
1,62,1,48.76,172,0,1,0,0,0,0,0,1
2,24,5,85.47,460,0,1,0,0,0,1,0,0
3,36,3,97.94,297,1,1,0,0,0,0,1,0
4,46,19,58.14,266,0,1,0,0,0,0,1,0
5,67,15,82.65,456,1,0,1,0,0,0,0,1
6,30,3,73.79,269,0,1,0,1,0,0,0,0
7,67,1,97.7,396,1,1,0,0,0,0,1,0
8,20,10,42.45,150,1,1,0,0,0,0,1,0
9,53,12,64.49,383,1,1,0,0,0,1,0,0
10,50,5,88.49,442,0,1,0,0,0,0,1,0
11,44,20,95.71,295,1,0,1,0,0,1,0,0
12,34,10,90.42,148,1,1,0,0,0,0,1,0
13,28,13,58.48,239,1,0,1,1,0,0,0,0
14,42,15,46.87,233,0,0,1,1,0,0,0,0
15,55,13,61.11,231,1,1,0,0,1,0,0,0
16,43,8,81.4,231,1,1,0,0,0,0,0,1
17,63,1,83.31,198,0,0,1,1,0,0,0,0
18,31,23,63.4,236,0,0,1,0,0,0,1,0
19,41,1,58.76,354,0,1,0,1,0,0,0,0
20,58,2,49.56,429,0,1,0,0,1,0,0,0
21,64,15,99.79,243,0,0,1,0,1,0,0,0
22,50,23,62.45,270,1,0,1,1,0,0,0,0
23,70,4,51.21,389,1,0,1,0,0,1,0,0
24,18,12,68.91,226,1,1,0,0,0,0,0,1
25,20,18,75.69,393,0,1,0,0,0,1,0,0
26,46,17,81.76,89,1,1,0,0,1,0,0,0
27,25,2,82.74,183,0,0,1,0,0,1,0,0
28,31,5,72.09,270,0,0,1,0,0,0,1,0
29,53,19,93.91,456,1,0,1,0,0,1,0,0
30,27,1,42.92,135,1,1,0,0,0,0,1,0
31,18,9,75.74,185,0,0,1,0,0,0,0,1
32,66,3,61.1,151,1,1,0,0,0,0,1,0
33,62,9,77.35,115,1,0,1,0,0,0,1,0
34,29,10,79.82,269,1,0,1,0,0,1,0,0
35,62,19,73.5,194,1,0,1,0,0,0,0,1
36,66,15,59.0,278,1,1,0,1,0,0,0,0
37,36,17,47.22,423,1,0,1,0,0,0,0,1
38,60,18,97.11,202,0,0,1,0,0,0,1,0
39,26,1,46.16,495,0,0,1,0,0,0,1,0
40,45,14,70.11,162,0,1,0,1,0,0,0,0
41,55,16,72.67,101,1,0,1,0,0,0,1,0
42,19,14,39.69,294,0,1,0,0,0,0,1,0
43,20,20,79.84,122,1,1,0,0,0,0,1,0
44,26,3,82.46,305,0,1,0,0,1,0,0,0
45,37,15,92.78,212,1,1,0,0,0,0,0,1
46,63,1,64.82,220,1,1,0,1,0,0,0,0
47,27,6,61.98,253,1,0,1,0,0,1,0,0
48,66,15,70.41,135,0,0,1,0,0,0,0,1
49,49,17,53.26,278,1,1,0,0,0,0,1,0
50,38,7,44.73,411,1,1,0,0,0,0,0,1
51,25,14,38.28,447,1,1,0,1,0,0,0,0
52,53,3,40.71,218,0,0,1,1,0,0,0,0
53,29,24,94.31,221,1,1,0,0,1,0,0,0
54,57,20,42.36,243,1,0,1,1,0,0,0,0
55,47,8,35.43,166,0,0,1,0,0,0,1,0
56,47,19,93.39,64,1,1,0,0,0,1,0,0
57,70,3,75.58,67,1,0,1,0,0,1,0,0
58,18,22,87.67,391,0,1,0,0,0,0,0,1
59,36,23,42.56,232,1,0,1,0,0,0,0,1
60,31,12,47.67,298,0,1,0,0,1,0,0,0
